avaliacao,fracao_top,peso_especialista,limite_inferior,limite_superior,quantidade,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp
oof_por_fold,0.03,0.1,2000000,inf,194,121,0.3390738711323796,0.33594199758929866,0.3131873543080921
oof_por_fold,0.03,0.2,0,1000000.0,3826,1,0.19761205972265045,0.19753611692815676,0.007594279449368857
oof_por_fold,0.03,0.2,1000000,1300000.0,336,1,0.2065767268927747,0.20678246877797513,-0.020574188520042225
oof_por_fold,0.03,0.2,1300000,1500000.0,146,4,0.23825782992045527,0.2404547532475751,-0.21969233271198207
oof_por_fold,0.03,0.2,1500000,2000000.0,176,18,0.3017512513534409,0.3025703236878185,-0.0819072334377613
oof_por_fold,0.03,0.2,2000000,inf,194,121,0.3390738711323796,0.3329550756683387,0.6118795464040871
oof_por_fold,0.03,0.25,0,1000000.0,3826,1,0.19761205972265045,0.1975184571227856,0.009360259986485042
oof_por_fold,0.03,0.25,1000000,1300000.0,336,1,0.2065767268927747,0.20683633327664894,-0.02596063838742335
oof_por_fold,0.03,0.25,1300000,1500000.0,146,4,0.23825782992045527,0.24105598157358668,-0.2798151653131409
oof_por_fold,0.03,0.25,1500000,2000000.0,176,18,0.3017512513534409,0.3028455537651329,-0.10943024116920053
oof_por_fold,0.03,0.25,2000000,inf,194,121,0.3390738711323796,0.33151720336410273,0.7556667768276848
oof_por_fold,0.03,0.3333333333333333,0,1000000.0,3826,1,0.19761205972265045,0.19749020340051712,0.012185632213332354
oof_por_fold,0.03,0.3333333333333333,1000000,1300000.0,336,1,0.2065767268927747,0.20692826286907987,-0.035153597630516176
oof_por_fold,0.03,0.3333333333333333,1300000,1500000.0,146,4,0.23825782992045527,0.24210349901780423,-0.3845669097348958
oof_por_fold,0.03,0.3333333333333333,1500000,2000000.0,176,18,0.3017512513534409,0.30336654724805795,-0.16152958946170637
oof_por_fold,0.03,0.3333333333333333,2000000,inf,194,121,0.3390738711323796,0.3292047852831717,0.986908584920787
oof_por_fold,0.03,0.5,0,1000000.0,3826,1,0.19761205972265045,0.19743812051767193,0.017393920497851822
oof_por_fold,0.03,0.5,1000000,1300000.0,336,1,0.2065767268927747,0.20712019186119354,-0.05434649684188386
oof_por_fold,0.03,0.5,1300000,1500000.0,146,4,0.23825782992045527,0.24436636596423933,-0.6108536043784057
oof_por_fold,0.03,0.5,1500000,2000000.0,176,18,0.3017512513534409,0.3046405587850713,-0.28893074316304057
oof_por_fold,0.03,0.5,2000000,inf,194,121,0.3390738711323796,0.32490302934406734,1.4170841788312238
oof_por_fold,0.03,0.75,0,1000000.0,3826,1,0.19761205972265045,0.19737106610641672,0.02409936162337256
oof_por_fold,0.03,0.75,1000000,1300000.0,336,1,0.2065767268927747,0.2074282030814468,-0.08514761886720956
oof_por_fold,0.03,0.75,1300000,1500000.0,146,4,0.23825782992045527,0.2481684855192015,-0.9910655598746237
oof_por_fold,0.03,0.75,1500000,2000000.0,176,18,0.3017512513534409,0.307123980760342,-0.5372729406901089
oof_por_fold,0.03,0.75,2000000,inf,194,121,0.3390738711323796,0.3192899264563255,1.97839446760541
oof_por_fold,0.03,1.0,0,1000000.0,3826,1,0.19761205972265045,0.1973173074300985,0.029475229255193636
oof_por_fold,0.03,1.0,1000000,1300000.0,336,1,0.2065767268927747,0.207760259516275,-0.11835326235002941
oof_por_fold,0.03,1.0,1300000,1500000.0,146,4,0.23825782992045527,0.2524401224516066,-1.4182292531151304
oof_por_fold,0.03,1.0,1500000,2000000.0,176,18,0.3017512513534409,0.31027929021915934,-0.8528038865718457
oof_por_fold,0.03,1.0,2000000,inf,194,121,0.3390738711323796,0.31473146030379195,2.4342410828587626
oof_por_fold,0.04,0.1,0,1000000.0,3826,1,0.19761205972265045,0.19757302791018205,0.0039031812468393046
oof_por_fold,0.04,0.1,1000000,1300000.0,336,2,0.2065767268927747,0.20665487466178822,-0.007814776901352016
oof_por_fold,0.04,0.1,1300000,1500000.0,146,12,0.23825782992045527,0.23959811874683293,-0.13402888263776558
oof_por_fold,0.04,0.1,1500000,2000000.0,176,36,0.3017512513534409,0.301869292608735,-0.011804125529413234
oof_por_fold,0.04,0.1,2000000,inf,194,139,0.3390738711323796,0.33433011086336784,0.4743760269011743
oof_por_fold,0.04,0.2,0,1000000.0,3826,1,0.19761205972265045,0.19753611692815676,0.007594279449368857
oof_por_fold,0.04,0.2,1000000,1300000.0,336,2,0.2065767268927747,0.20673816203274334,-0.016143513996863534
oof_por_fold,0.04,0.2,1300000,1500000.0,146,12,0.23825782992045527,0.24112429020936452,-0.2866460288909245
oof_por_fold,0.04,0.2,1500000,2000000.0,176,36,0.3017512513534409,0.30215863816780164,-0.04073868143607551
oof_por_fold,0.04,0.2,2000000,inf,194,139,0.3390738711323796,0.3298166811014929,0.9257190030886653
oof_por_fold,0.04,0.25,0,1000000.0,3826,1,0.19761205972265045,0.1975184571227856,0.009360259986485042
oof_por_fold,0.04,0.25,1000000,1300000.0,336,2,0.2065767268927747,0.20678173114317747,-0.02050042504027627
oof_por_fold,0.04,0.25,1300000,1500000.0,146,12,0.23825782992045527,0.24195599946569485,-0.3698169545239577
