estrategia,limite_inferior,limite_superior,quantidade,rmspe_base,rmspe_juiz,ganho_pp,peso_medio
faixa_pura,1300000,1500000.0,146,0.23825782992045527,0.22812275668528095,1.013507323517432,0.3130561776368246
faixa_pura,1500000,2000000.0,176,0.3017512513534409,0.2762714075489909,2.547984380445001,0.349822325505805
faixa_pura,2000000,inf,194,0.3390738711323796,0.3006082923143578,3.846557881802176,0.42029901352030324
preco_puro,0,740000.0,3265,0.19718272006755883,0.19768855433690866,-0.05058342693498308,0.00017972368496866345
preco_puro,740000,900000.0,392,0.1948628831799081,0.19714730136409947,-0.2284418184191367,0.00465801472093324
preco_puro,900000,1000000.0,169,0.21172608688476616,0.20724895506889923,0.4477131815866925,0.009852840745596501
preco_puro,1000000,1300000.0,336,0.2065767268927747,0.20726148010794088,-0.06847532151661728,0.03286724706787637
preco_puro,1300000,1500000.0,146,0.23825782992045527,0.25961731625445755,-2.1359486334002282,0.1388537349488565
preco_puro,1500000,2000000.0,176,0.3017512513534409,0.3062785085523481,-0.4527257198907231,0.2425423692640851
preco_puro,2000000,inf,194,0.3390738711323796,0.2894898055516252,4.95840655807544,0.765973010322736
