limite,rmspe,quantidade_especialista,fracao_especialista
278000.0,0.20524320794035214,478,0.10218041898247114
287535.0,0.20525061318006058,549,0.11735784523300556
275000.0,0.20525086396888004,477,0.1019666524155622
289999.0,0.20525127938225557,554,0.11842667806755024
367830.0,0.20525203331787562,1272,0.27191107310816587
287000.0,0.2052735998342127,548,0.11714407866609662
285000.0,0.20527817778239515,547,0.11693031209918768
368782.13,0.2052836089189186,1273,0.27212483967507484
364350.0,0.20529937079393326,1255,0.26827704147071396
279000.0,0.20531365596768364,482,0.10303548525010689
369000.0,0.20531924324558198,1275,0.27255237280889266
270000.0,0.2053886107786819,459,0.09811885421120137
271000.0,0.20541425244087502,461,0.09854638734501923
272000.0,0.20544383841811867,463,0.09897392047883712
271500.0,0.20544601153452505,462,0.09876015391192818
274000.0,0.20546106139626322,466,0.09961522017956391
273000.0,0.2054661489487429,465,0.09940145361265498
281036.0,0.20551399105662582,527,0.11265498076100898
284000.0,0.2055193054258261,529,0.11308251389482685
284999.0,0.2055457436505827,530,0.11329628046173579
280000.0,0.20557288768693746,526,0.11244121419410004
370000.0,0.2056957895778625,1337,0.2858058999572467
373000.0,0.20570568409320353,1341,0.2866609662248824
373600.0,0.2057098478813978,1342,0.2868747327917914
371000.0,0.20571355084109597,1338,0.2860196665241556
371274.0,0.2057168113622879,1339,0.2862334330910646
374000.0,0.20576772114612862,1344,0.28730226592560926
266400.0,0.20579510088593406,416,0.08892689183411714
265000.0,0.20579604417822833,415,0.0887131252672082
374150.0,0.20580272180193704,1345,0.28751603249251817
268000.0,0.2058039490216977,419,0.08956819153484395
260000.0,0.2058042547128671,397,0.08486532706284737
261000.0,0.2058054330498425,398,0.08507909362975631
267000.0,0.20580710373662714,418,0.08935442496793501
268500.0,0.20581089425130533,420,0.08978195810175288
262000.0,0.2058125280572786,400,0.08550662676357418
261654.0,0.2058159974107006,399,0.08529286019666524
269000.0,0.20583923066427628,421,0.08999572466866182
375000.0,0.20595469555709114,1360,0.2907225309961522
375682.0,0.2059835224978944,1361,0.29093629756306116
377000.0,0.2059932700201564,1363,0.291363830696879
378000.0,0.20608280258298073,1366,0.29200513039760584
379000.0,0.2060867098295837,1368,0.29243266353142366
255500.0,0.20629307473950373,352,0.07524583155194528
255000.0,0.2062950068681623,351,0.07503206498503634
259800.0,0.20631113432854561,361,0.07716973065412569
259000.0,0.2063121398817941,360,0.07695596408721676
256000.0,0.20631607811479763,353,0.07545959811885421
258000.0,0.20633201425539366,354,0.07567336468576315
252480.0,0.20664622625076595,335,0.07161179991449337
252000.0,0.20665042041606696,333,0.0711842667806755
252200.0,0.20666256341212225,334,0.07139803334758443
252500.0,0.20667015918428955,336,0.07182556648140231
254200.0,0.20667339960161263,337,0.07203933304831124
380000.0,0.20670426022408034,1444,0.30867892261650276
250791.0,0.2067068556116387,332,0.07097050021376657
250000.0,0.20672420680052095,330,0.0705429670799487
381588.0,0.20673082282910155,1447,0.3093202223172296
381000.0,0.20673490304765307,1446,0.30910645575032064
382000.0,0.20676359358699226,1448,0.3095339888841385
382842.0,0.206786863555773,1449,0.30974775545104744
383000.0,0.20683137430518747,1450,0.3099615220179564
384000.0,0.2068330392804836,1451,0.3101752885848653
385000.0,0.20699016362341577,1461,0.31231295425395467
385200.0,0.20710129607482636,1464,0.31295425395468146
386000.0,0.20711662190840682,1468,0.3138093202223172
386146.0,0.20712127491804352,1469,0.3140230867892262
386147.0,0.20713567410892259,1470,0.3142368533561351
388000.0,0.20714454064036814,1472,0.314664386489953
386910.0,0.2071478707397116,1471,0.314450619923044
388008.0,0.2071560948841827,1475,0.3153056861906798
390000.0,0.20736883119455843,1520,0.32492518170158186
392790.0,0.20738956234781775,1521,0.3251389482684908
392793.0,0.2074194325031398,1525,0.32599401453612653
393000.0,0.2074370065582294,1526,0.3262077811030355
395000.0,0.20750702427579873,1543,0.3298418127404874
397000.0,0.20752775078314972,1544,0.3300555793073963
398000.0,0.20762550251702216,1548,0.3309106455750321
245000.0,0.20776871236859665,269,0.057503206498503635
246000.0,0.20778063139828618,271,0.0579307396323215
399000.0,0.2077857815320797,1557,0.33283454467721246
247500.0,0.20779295723197552,272,0.05814450619923044
240000.0,0.2078243648983212,262,0.056006840530141086
242940.0,0.207829094767121,264,0.05643437366395896
241000.0,0.20783035758186946,263,0.05622060709705002
249000.0,0.20786845090586378,276,0.058999572466866185
400000.0,0.2081248170550489,1657,0.354211201368106
235500.0,0.20813626825943765,236,0.05044890979050876
235000.0,0.2081412454051034,235,0.05023514322359983
400515.0,0.2081435538101462,1658,0.354424967935015
403000.0,0.20818227974969275,1659,0.3546387345019239
406000.0,0.20820740796227385,1664,0.3557075673364686
405000.0,0.20820850600876598,1662,0.3552800342026507
407000.0,0.20821188341339622,1665,0.3559213339033775
405500.0,0.20821772468609837,1663,0.35549380076955966
408000.0,0.20822126205752794,1666,0.35613510047028646
409000.0,0.20824943902608875,1668,0.35656263360410434
232500.0,0.20825888238789703,224,0.04788371098760154
230000.0,0.20826162891375505,223,0.047669944420692605
234000.0,0.20826184702548717,226,0.04831124412141941
409100.0,0.20833296319800285,1670,0.35699016673792217
410000.0,0.20850503638079745,1693,0.3619067977768277
411558.0,0.20850776959740244,1694,0.36212056434373663
226580.0,0.2085535063609676,201,0.04296707994869602
412000.0,0.20856472260526668,1696,0.3625480974775545
414233.0,0.2085718823122297,1697,0.3627618640444634
225000.0,0.20857525934837437,200,0.04275331338178709
220000.0,0.20863685609868002,194,0.04147071398033347
223000.0,0.2086381482894776,195,0.041684480547242414
415000.0,0.20868552965494439,1711,0.36575459598118853
416000.0,0.20875237359780163,1714,0.36639589568191533
417000.0,0.20876510753565897,1715,0.3666096622488243
417500.0,0.20879495156295078,1716,0.3668234288157332
419000.0,0.20879500077661584,1718,0.3672509619495511
418000.0,0.20880910312245549,1717,0.3670371953826422
