nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
blend50_log_all_b100,blend50,1000000,852,0.25665563194045204,0.2581924210226768
blend50_log_all_b100,blend50,1300000,516,0.2892112350991138,0.2929086189529606
blend50_log_all_b100,blend50,1500000,370,0.24192435400604478,0.25221254970887236
blend50_log_all_b100,blend50,2000000,194,0.2335686025095286,0.2442511223218282
xgb_log_sub830,xgb,600000,1913,0.3261839998234319,0.29673903048583117
xgb_log_sub830,xgb,740000,1413,0.24573255795329804,0.23118887424407353
xgb_log_sub830,xgb,830000,1174,0.22860705617519597,0.22142595066801452
xgb_log_sub830,xgb,950000,947,0.22684853106548483,0.22530398125730222
xgb_log_sub830,xgb,1000000,852,0.22911127933069875,0.23025193174203923
xgb_log_sub830,xgb,1300000,516,0.2660933415021391,0.2714534508668075
xgb_log_sub830,xgb,1500000,370,0.2314189766663279,0.2436635836902515
xgb_log_sub830,xgb,2000000,194,0.23425615178203152,0.2479220075978904
lgb_log_sub830,lgb,600000,1913,0.3262809004268864,0.3002645059766151
lgb_log_sub830,lgb,740000,1413,0.24206024131082862,0.22882734577709624
lgb_log_sub830,lgb,830000,1174,0.22424696948866682,0.2175757644484549
lgb_log_sub830,lgb,950000,947,0.22220204549522216,0.22091509909265405
lgb_log_sub830,lgb,1000000,852,0.2245373038072663,0.22574577163932347
lgb_log_sub830,lgb,1300000,516,0.25757253748074227,0.26282554539173997
lgb_log_sub830,lgb,1500000,370,0.23849144532280753,0.24882409438481304
lgb_log_sub830,lgb,2000000,194,0.23877236064079319,0.25088199621732277
blend50_log_sub830,blend50,600000,1913,0.32453368034544433,0.2975214912793699
blend50_log_sub830,blend50,740000,1413,0.24180241450881865,0.22827226452811214
blend50_log_sub830,blend50,830000,1174,0.22400087403709393,0.21728985304778742
blend50_log_sub830,blend50,950000,947,0.22195278087765213,0.22067481860224472
blend50_log_sub830,blend50,1000000,852,0.22421915443527834,0.22549230409467616
blend50_log_sub830,blend50,1300000,516,0.2592985550512848,0.2646548757467519
blend50_log_sub830,blend50,1500000,370,0.23245837510199863,0.243638624456828
blend50_log_sub830,blend50,2000000,194,0.23373830199286,0.24654481463991873
xgb_log_sub950,xgb,600000,1913,0.431697805539646,0.36428145576892434
xgb_log_sub950,xgb,740000,1413,0.2960710191941649,0.2549650756547825
xgb_log_sub950,xgb,830000,1174,0.2547951305446464,0.2295792554228689
xgb_log_sub950,xgb,950000,947,0.2328975875065843,0.22366483448041113
xgb_log_sub950,xgb,1000000,852,0.22968663573321435,0.22698069425194767
xgb_log_sub950,xgb,1300000,516,0.2590225263392116,0.26773121072870615
xgb_log_sub950,xgb,1500000,370,0.22099628531423268,0.24384455549695172
xgb_log_sub950,xgb,2000000,194,0.23006158492107662,0.25519653264416836
lgb_log_sub950,lgb,600000,1913,0.42791804658638344,0.3626706794878232
lgb_log_sub950,lgb,740000,1413,0.29402204088241546,0.2531737517492084
lgb_log_sub950,lgb,830000,1174,0.24994181531732507,0.22490014385472082
lgb_log_sub950,lgb,950000,947,0.2285487580065349,0.21937502778395693
lgb_log_sub950,lgb,1000000,852,0.22543617063865287,0.22286970415164123
lgb_log_sub950,lgb,1300000,516,0.25085817029697727,0.2606524471686918
lgb_log_sub950,lgb,1500000,370,0.22605640874616093,0.24804872618640458
lgb_log_sub950,lgb,2000000,194,0.23126171285673375,0.25658039355695494
blend50_log_sub950,blend50,600000,1913,0.4280298164739772,0.3626032811436378
blend50_log_sub950,blend50,740000,1413,0.2929899309117273,0.2524853414719295
blend50_log_sub950,blend50,830000,1174,0.2499643305002591,0.22513514327698342
blend50_log_sub950,blend50,950000,947,0.228060651155231,0.21907341458805044
blend50_log_sub950,blend50,1000000,852,0.22480514274549213,0.2223709304068814
blend50_log_sub950,blend50,1300000,516,0.2523452080995829,0.26174253329951275
blend50_log_sub950,blend50,1500000,370,0.22107526505108185,0.24355805806438274
blend50_log_sub950,blend50,2000000,194,0.2277290234042151,0.2531157638604658
xgb_raw_sub830_rmspe,xgb,600000,1913,0.30755256644465817,0.3093490250291589
xgb_raw_sub830_rmspe,xgb,740000,1413,0.2272356022606208,0.2288597362259164
xgb_raw_sub830_rmspe,xgb,830000,1174,0.20775433247038627,0.20890468902135745
xgb_raw_sub830_rmspe,xgb,950000,947,0.20620507436028687,0.20728132066201635
xgb_raw_sub830_rmspe,xgb,1000000,852,0.20779886627009223,0.2087209367780518
xgb_raw_sub830_rmspe,xgb,1300000,516,0.24052734459161337,0.2413913127628016
xgb_raw_sub830_rmspe,xgb,1500000,370,0.2467023672942341,0.2471497622629042
xgb_raw_sub830_rmspe,xgb,2000000,194,0.2609838699653741,0.2609791496856601
lgb_raw_sub830_rmspe,lgb,600000,1913,0.3080064829515612,0.3106702138691751
lgb_raw_sub830_rmspe,lgb,740000,1413,0.2307163812315885,0.2325558125048645
lgb_raw_sub830_rmspe,lgb,830000,1174,0.21426550137474346,0.21543459760652725
lgb_raw_sub830_rmspe,lgb,950000,947,0.21362114171522545,0.2144423174022785
lgb_raw_sub830_rmspe,lgb,1000000,852,0.2176392297059045,0.218231389219665
lgb_raw_sub830_rmspe,lgb,1300000,516,0.2503513575818677,0.2506232126257141
lgb_raw_sub830_rmspe,lgb,1500000,370,0.2616456820916466,0.2616604691411049
lgb_raw_sub830_rmspe,lgb,2000000,194,0.2757912120391632,0.27537712934803577
blend50_raw_sub830_rmspe,blend50,600000,1913,0.30631079261908956,0.3092638293089405
blend50_raw_sub830_rmspe,blend50,740000,1413,0.22696130660629937,0.2290510758401748
blend50_raw_sub830_rmspe,blend50,830000,1174,0.20873705917245586,0.21003393306332369
blend50_raw_sub830_rmspe,blend50,950000,947,0.2077414155244462,0.20865817529069158
blend50_raw_sub830_rmspe,blend50,1000000,852,0.2107034068239107,0.21134202715423864
blend50_raw_sub830_rmspe,blend50,1300000,516,0.243822375236181,0.2441291229897729
blend50_raw_sub830_rmspe,blend50,1500000,370,0.2528042281286241,0.2526656783315469
blend50_raw_sub830_rmspe,blend50,2000000,194,0.2671644762950529,0.26652366902112345
xgb_raw_sub950_rmspe,xgb,600000,1913,0.4091033544749771,0.37596091141789817
xgb_raw_sub950_rmspe,xgb,740000,1413,0.2761015864195748,0.2562796969825758
xgb_raw_sub950_rmspe,xgb,830000,1174,0.23124529864048363,0.22011153376347917
