avaliacao,fracao_top,peso_especialista,quantidade_selecionada,rmspe_base,rmspe_gate,ganho_pp,preco_previsto_minimo_selecionado,preco_real_mediano_selecionado,proporcao_real_acima_1m,proporcao_real_acima_1300,proporcao_real_acima_1500,proporcao_real_acima_2m,ganho_fold_1_pp,ganho_fold_2_pp,ganho_fold_3_pp,ganho_fold_4_pp,ganho_fold_5_pp
oof_por_fold,0.025,1.0,120,0.21205824414545832,0.21155358248834777,0.050466165711055,1664893.7612170908,2947500.0,1.0,1.0,0.9916666666666667,0.9083333333333333,0.1357173677471485,0.08942577962121334,-0.12414834461838276,0.022336594851821157,0.12431842590487907
oof_por_fold,0.03,0.1,145,0.21205824414545832,0.2118848182021734,0.017342594328492722,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.031166020235831593,0.02891587668467921,0.003716369682085774,0.007317338404261298,0.014763225534492053
oof_por_fold,0.03,0.2,145,0.21205824414545832,0.2117337532223507,0.03244909231076287,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.06007039689590321,0.05569052384525042,0.004847623384918176,0.013345402132641793,0.026687612617110057
oof_por_fold,0.03,0.25,145,0.21205824414545832,0.21166662133199973,0.03916228134585864,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.07367153352658973,0.06827240042797666,0.004443663260098041,0.01587558900130459,0.031583727217943114
oof_por_fold,0.03,0.3333333333333333,145,0.21205824414545832,0.2115671987375433,0.04910454079150306,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.09507546432785952,0.08804571714092768,0.002334083400187814,0.019375340023852772,0.038162848881748146
oof_por_fold,0.03,0.5,145,0.21205824414545832,0.2114151679233089,0.06430762221494302,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.13312403008889362,0.12309128487640875,-0.007268713755861911,0.02368372655912887,0.04538625474763969
oof_por_fold,0.03,0.75,145,0.21205824414545832,0.2113043843271242,0.07538598183341183,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.17823659780527856,0.16435488483463323,-0.03511004746154789,0.023415138619023446,0.041373445212675164
oof_por_fold,0.03,1.0,145,0.21205824414545832,0.21133449176501334,0.07237523804449753,1567565.9365207928,2750000.0,0.993103448275862,0.9862068965517241,0.9586206896551724,0.8344827586206897,0.20891658853223194,0.19198591885588312,-0.0790162001621908,0.015070144430118226,0.019555232369233844
oof_por_fold,0.04,0.1,190,0.21205824414545832,0.21177487017796748,0.028337396749084087,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.03774329943854737,0.04887383177790694,0.015332637582254893,0.008609714250509826,0.029574797337539316
oof_por_fold,0.04,0.2,190,0.21205824414545832,0.21152849029547033,0.05297538499879906,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.07267354180072183,0.09457670330804968,0.026220765140566593,0.01341526134616966,0.0549097942728588
oof_por_fold,0.04,0.25,190,0.21205824414545832,0.21141921431170463,0.06390298337536904,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.0890793499176562,0.11623273941181178,0.029995855650216674,0.014390548311271623,0.06598259544697838
oof_por_fold,0.04,0.3333333333333333,190,0.21205824414545832,0.21125775105275207,0.08004930927062448,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.11484728010464629,0.15054691816874521,0.03381298391817167,0.013900721119178283,0.08206903334201376
oof_por_fold,0.04,0.5,190,0.21205824414545832,0.21101251371355448,0.10457304319038407,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.16045117926759278,0.21246608753703045,0.03216278331099054,0.004990652847075561,0.10533866787162394
oof_por_fold,0.04,0.75,190,0.21205824414545832,0.210839486815583,0.12187573298753085,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.21393444505551362,0.28843294236639283,0.006492134690910811,-0.028166845650925976,0.11792193829310293
oof_por_fold,0.04,1.0,190,0.21205824414545832,0.21090070874943653,0.1157535396021786,1496633.0979937478,2500000.0,0.9947368421052631,0.9842105263157894,0.9210526315789473,0.7315789473684211,0.24939186136075375,0.34391908726127685,-0.04691386707894041,-0.08496658458060358,0.10368541140600984
